key,type
1602,Teaching only
1603,Teaching only
1604,Teaching only
1605,Teaching only
1606,Teaching only
1607,Teaching only
1608,Teaching only
1609,Teaching only
1610,Teaching only
1611,Teaching only
1612,Teaching only
1613,Teaching only
1614,Teaching only
1615,Teaching only
1616,Teaching only
1617,Teaching only
1618,Teaching only
1619,Teaching only
1620,Teaching only
1621,Teaching only
1622,Teaching only
1623,Teaching only
1624,Teaching only
1625,Teaching only
1626,Teaching only
1627,Teaching only
1628,Teaching only
1629,Teaching only
1630,Teaching only
1631,Teaching only
1632,Teaching only
1633,Teaching only
1634,Teaching only
1635,Teaching only
1636,Teaching only
1637,Teaching only
1638,Teaching only
1639,Teaching only
1640,Teaching only
1641,Teaching only
1642,Teaching only
1643,Teaching only
1644,Teaching only
1645,Teaching only
1646,Teaching only
1647,Teaching only
1648,Teaching only
1649,Teaching only
1650,Teaching only
1651,Teaching only
1652,Teaching only
1653,Teaching only
1654,Teaching only
1655,Teaching only
1656,Teaching only
1657,Teaching only
1658,Teaching only
1659,Teaching only
1660,Teaching only
1661,Teaching only
1662,Teaching only
1663,Teaching only
