lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
22.9988083,120.217172,National Cheng Kung University,222,-,350.5,290,0.0034934497816593887,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
-32.8927718,151.7041775,"The University of Newcastle, Australia",224,-,350.5,290,0.0034812880765883376,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
45.4601435,9.1945843,University of Milan,325,-,250.5,290,0.0034752389226759338,Italy,Italien,Italie,Italia,Italia,Itália,Италия,意大利,イタリア,إيطاليا
40.8503116,-73.9288728,The Katz School at Yeshiva University,325,-,250.5,290,0.0034752389226759338,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
25.0260598,121.5275321,National Taiwan Normal University,289,-,-,290,0.0034602076124567475,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
55.7659244,37.6855946,Bauman Moscow State Technical University,291,-,-,290,0.003436426116838488,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
40.4478246,-3.7285872,Complutense University of Madrid,233,-,350.5,290,0.003427592116538132,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
-37.7868611,175.3184579,University of Waikato,292,-,-,290,0.003424657534246575,New Zealand,Neuseeland,Nouvelle-Zélande,Nuova Zelanda,Nueva Zelandia,Nova Zelândia,Новая Зеландия,新西兰,ニュージーランド,نيوزيلندا
26.5123388,80.2329,Indian Institute of Technology Kanpur,293,-,-,290,0.0034129692832764505,India,Indien,Inde,India,India,Índia,Индия,印度,インド,الهند
-33.4411279,-70.6407933,Pontificia Universidad Católica de Chile,137,-,450.5,290,0.003404255319148936,Chile,Chile,Chili,Cile,Chile,Chile,Чили,智利,チリ,تشيلي
41.388004,2.1132804,Polytechnic University of Catalonia,275,-,-,280,0.0036363636363636364,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
